"food_name","scientific_name","group","sub_group"
"Leek","Allium porrum","Vegetables","Onion-family vegetables"
"Endive","Cichorium endivia","Vegetables","Leaf vegetables"
"Burdock","Arctium lappa","Vegetables","Root vegetables"
"Swede","Brassica napus","Vegetables","Root vegetables"
"Allium (Onion)","Allium","Vegetables","Onion-family vegetables"
"Rape","Brassica napus var. napus","Vegetables","Root vegetables"
"Pepper (C. annuum)","Capsicum annuum","Vegetables","Fruit vegetables"
"Common cabbage","Brassica oleracea","Vegetables","Cabbages"
"Common beet","Beta vulgaris","Vegetables","Leaf vegetables"
"Brussel sprouts","Brassica oleracea var. gemmifera","Vegetables","Cabbages"
"Broccoli","Brassica oleracea var. italica","Vegetables","Cabbages"
"Garden onion","Allium cepa","Vegetables","Onion-family vegetables"
"Asparagus","Asparagus officinalis","Vegetables","Shoot vegetables"
"Chinese mustard","Brassica juncea","Vegetables","Cabbages"
"Chicory","Cichorium intybus","Vegetables","Root vegetables"
"Chinese cabbage","Brassica rapa","Vegetables","Cabbages"
"Kohlrabi","Brassica oleracea var. gongylodes","Vegetables","Root vegetables"
"Cauliflower","Brassica oleracea var. botrytis","Vegetables","Cabbages"
"Savoy cabbage","Brassica oleracea var. sabauda","Vegetables","Cabbages"
